Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId
nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:00.008,25746,INFO,nova.osapi_compute.wsgi.server,req-38101a0b-2096-447d-96ea-a692162415ae 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829",bd2f529c
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.500,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Started (Lifecycle Event),8068b26f
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.693,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.,3afc63a5
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:05.185,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,8970be39
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:05.186,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",d7d096ad
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:05.367,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,7bc5d64e
nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.279,25743,INFO,nova.api.openstack.compute.server_external_events,req-ab451068-9756-4ad9-9d18-5ceaa6424627 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,Creating event network-vif-plugged:e3871ffd-5cd5-4287-bddd-3529f7b59515 for instance b9000564-fe1a-409b-b8cc-1e88b294cd1d,16f9f039
nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.285,25743,INFO,nova.osapi_compute.wsgi.server,req-ab451068-9756-4ad9-9d18-5ceaa6424627 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,"10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200 len: 380 time: 0.0913219",e7c5c93a
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.302,2931,INFO,nova.virt.libvirt.driver,-,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance spawned successfully.,71bd50f3
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.303,2931,INFO,nova.compute.manager,req-8e64797b-fb99-4c8a-87e5-9a8de673412f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.05 seconds to spawn the instance on the hypervisor.,5cc17dae
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.470,2931,INFO,nova.compute.manager,req-8e64797b-fb99-4c8a-87e5-9a8de673412f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.84 seconds to build instance.,f98bbe57
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:13.658,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,304a219c
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.265,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"Total usable vcpus: 16, total allocated vcpus: 1",f436579e
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.266,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[],5935193a
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.329,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,9d6775a4
nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.504,25746,INFO,nova.osapi_compute.wsgi.server,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/b9000564-fe1a-409b-b8cc-1e88b294cd1d HTTP/1.1"" status: 204 len: 203 time: 0.2534380",b07a374b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:17.541,2931,INFO,nova.compute.manager,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Terminating instance,f805aa5e
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.450,2931,INFO,nova.virt.libvirt.driver,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deleting instance files /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del,8abec95e
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.451,2931,INFO,nova.virt.libvirt.driver,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deletion of /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del complete,000f9337
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:19.050,2931,INFO,nova.compute.manager,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 0.48 seconds to deallocate network for instance.,70efa87f
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:20.345,2931,WARNING,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,a7a4ff84
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:20.346,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,6a30fe6e
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:20.349,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,f5f5f70f
nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:21.067,25746,INFO,nova.api.openstack.wsgi,req-0b851395-2895-44b9-8265-a27d0bb52910 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,HTTP exception thrown: No instances found for any event,66acd71e
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.092,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",aa780d87
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.093,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total memory: 64172 MB, used: 512.00 MB",c16e0b8a
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.094,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total disk: 15 GB, used: 0.00 GB",de4e8cbf
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.094,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] disk limit not specified, defaulting to unlimited",a6adbd82
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.127,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Claim successful,005b9f41
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:44.514,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] VM Started (Lifecycle Event),6c8466b8
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:44.697,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] During sync_power_state the instance has a pending task (spawning). Skip.,80ff1ab5
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:51.658,2931,INFO,nova.virt.libvirt.driver,-,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Instance spawned successfully.,0e9094e0
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:51.659,2931,INFO,nova.compute.manager,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 19.96 seconds to spawn the instance on the hypervisor.,c161423c
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:51.794,2931,INFO,nova.compute.manager,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 20.71 seconds to build instance.,01b41746
nova-scheduler.log.1.2017-05-16_13:53:08,2017-05-16,00:00:57.129,25998,INFO,nova.scheduler.host_manager,req-d724a3bd-e314-4f81-a41c-460aa91f24ae - - - - -,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,732653ea
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:59.733,2931,INFO,nova.compute.manager,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.,535d418b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:00.419,2931,INFO,nova.virt.libvirt.driver,req-d473bea3-588a-441a-8b2a-a137806f8786 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Deleting instance files /var/lib/nova/instances/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4_del,4ffcf4e8
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:00.421,2931,INFO,nova.virt.libvirt.driver,req-d473bea3-588a-441a-8b2a-a137806f8786 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Deletion of /var/lib/nova/instances/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4_del complete,5f08293e
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:01.080,2931,INFO,nova.compute.manager,req-d473bea3-588a-441a-8b2a-a137806f8786 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 0.52 seconds to deallocate network for instance.,cccbe73b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:12.998,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",bd00e0e9
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:12.999,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total memory: 64172 MB, used: 512.00 MB",256e1127
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:13.000,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total disk: 15 GB, used: 0.00 GB",80f68b2b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:13.000,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] disk limit not specified, defaulting to unlimited",b8a88bd6
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:13.033,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Claim successful,e2f085e6
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:26.460,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] VM Started (Lifecycle Event),7708177a
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:26.643,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] During sync_power_state the instance has a pending task (spawning). Skip.,65d180af
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:32.992,2931,INFO,nova.virt.libvirt.driver,-,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Instance spawned successfully.,786a91de
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:32.992,2931,INFO,nova.compute.manager,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 19.37 seconds to spawn the instance on the hypervisor.,a56eae48
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:33.126,2931,INFO,nova.compute.manager,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 20.14 seconds to build instance.,c64e9a6f
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:40.859,2931,INFO,nova.virt.libvirt.driver,req-31d09752-6f82-4fc5-ac97-416b9c865af4 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Deleting instance files /var/lib/nova/instances/b562ef10-ba2d-48ae-bf4a-18666cba4a51_del,f14c5abf
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:40.861,2931,INFO,nova.virt.libvirt.driver,req-31d09752-6f82-4fc5-ac97-416b9c865af4 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Deletion of /var/lib/nova/instances/b562ef10-ba2d-48ae-bf4a-18666cba4a51_del complete,6f56d452
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:41.435,2931,INFO,nova.compute.manager,req-31d09752-6f82-4fc5-ac97-416b9c865af4 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 0.45 seconds to deallocate network for instance.,e9d0784d
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:45.119,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,13866240
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.256,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",7590ec79
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.257,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total memory: 64172 MB, used: 512.00 MB",5c7850e2
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.259,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total disk: 15 GB, used: 0.00 GB",649e86f7
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.259,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] disk limit not specified, defaulting to unlimited",5df477ea
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.293,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Claim successful,4fe0a741
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:07.339,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] VM Started (Lifecycle Event),969d3364
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:07.518,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] During sync_power_state the instance has a pending task (spawning). Skip.,35dde0d1
